번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
1376,016790,현대사료,031008,동물용 사료 및 조제식품 제조업,"6,150,486","3,075,243,000",500,원(KRW)
1377,039010,현대통신,032604,통신 및 방송 장비 제조업,"8,625,000","4,312,500,000",500,원(KRW)
1378,092300,현우산업,032602,전자부품 제조업,"15,302,527","7,651,263,500",500,원(KRW)
1379,053660,현진소재,032509,기타 금속 가공제품 제조업,"52,582,957","26,291,478,500",500,원(KRW)
1380,011080,형지I&C,031401,봉제의복 제조업,"38,955,668","19,477,834,000",500,원(KRW)
1381,060560,홈센타홀딩스,074607,기타 전문 도매업,"85,113,017","42,556,508,500",500,원(KRW)
1382,064240,홈캐스트,032605,영상 및 음향기기 제조업,"33,094,756","16,797,419,500",500,원(KRW)
1383,039610,화성밸브,032901,일반 목적용 기계 제조업,"10,410,400","5,205,200,000",500,원(KRW)
1384,126640,화신정공,033003,자동차 신품 부품 제조업,"36,373,887","3,637,388,700",100,원(KRW)
1385,086250,화신테크,032902,특수 목적용 기계 제조업,"13,972,756","6,986,378,000",500,원(KRW)
1386,204630,화이브라더스코리아,189001,창작 및 예술관련 서비스업,"28,613,475","2,861,347,500",100,원(KRW)
1387,061250,화일약품,032102,의약품 제조업,"17,293,149","8,646,574,500",500,원(KRW)
1388,134780,화진,033003,자동차 신품 부품 제조업,"24,039,448","12,019,724,000",500,원(KRW)
1389,097870,효성오앤비,032003,"비료, 농약 및 살균, 살충제 제조업","8,490,000","4,245,000,000",500,원(KRW)
1390,050090,휘닉스소재,032602,전자부품 제조업,"69,138,942","34,569,471,000",500,원(KRW)
1391,290270,휴네시온,105802,소프트웨어 개발 및 공급업,"9,607,672","4,803,836,000",500,원(KRW)
1392,090710,휴림로봇,032902,특수 목적용 기계 제조업,"81,986,448","16,397,289,600",200,원(KRW)
1393,205470,휴마시스,032103,의료용품 및 기타 의약 관련제품 제조업,"28,172,918","2,817,291,800",100,원(KRW)
1394,115160,휴맥스,032605,영상 및 음향기기 제조업,"23,911,798","11,955,899,000",500,원(KRW)
1395,028080,휴맥스홀딩스,116409,기타 금융업,"12,577,506","6,288,753,000",500,원(KRW)
1396,200670,휴메딕스,032102,의약품 제조업,"9,971,194","4,985,597,000",500,원(KRW)
1397,065510,휴비츠,032701,의료용 기기 제조업,"11,882,871","5,941,435,500",500,원(KRW)
1398,243070,휴온스,032102,의약품 제조업,"8,983,757","4,491,878,500",500,원(KRW)
1399,084110,휴온스글로벌,032102,의약품 제조업,"10,921,362","5,460,681,000",500,원(KRW)
1400,145020,휴젤,032101,기초 의약물질 및 생물학적 제제 제조업,"4,319,765","2,209,882,500",500,원(KRW)
1401,024060,흥구석유,074607,기타 전문 도매업,"15,000,000","1,500,000,000",100,원(KRW)
1402,010240,흥국,032902,특수 목적용 기계 제조업,"12,322,696","6,161,348,000",500,원(KRW)
1403,189980,흥국에프엔비,031102,비알코올음료 및 얼음 제조업,"36,706,455","3,670,645,500",100,원(KRW)
1404,037440,희림,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","13,922,475","6,961,237,500",500,원(KRW)
1405,238490,힘스,032902,특수 목적용 기계 제조업,"5,656,118","2,828,059,000",500,원(KRW)
